Product Status,Instrument Status,Instrument,ISIN,Product ID,Instrument ID,WKN,Mnemonic,MIC Code,CCP eligible Code,Trading Model Type,Product Assignment Group,Product Assignment Group Description,Designated Sponsor Member ID,Designated Sponsor,Price Range Value,Price Range Percentage,Minimum Quote Size,Instrument Type,Tick Size 1,Upper Price Limit Max,Tick Size 2,Upper Price Limit 2,Tick Size 3,Upper Price Limit 3,Tick Size 4,Upper Price Limit 4,Tick Size 5,Upper Price Limit 5,Tick Size 6,Upper Price Limit 6,Tick Size 7,Upper Price Limit 7,Tick Size 8,Upper Price Limit 8,Tick Size 9,Upper Price Limit 9,Tick Size 10,Upper Price Limit 10,Tick Size 11,Upper Price Limit 11,Tick Size 12,Upper Price Limit 12,Tick Size 13,Upper Price Limit 13,Tick Size 14,Upper Price Limit 14,Tick Size 15,Upper Price Limit 15,Tick Size 16,Upper Price Limit 16,Tick Size 17,Upper Price Limit 17,Tick Size 18,Upper Price Limit 18,Tick Size 19,Upper Price Limit 19,Tick Size 20,Upper Price Limit 20,Number of Decimal Digits,Unit of Quotation,Market Segment,Market Segment Supplement,Clearing Location,Primary Market MIC Code,Reporting Market,Settlement Period,Settlement Currency,Closed Book Indicator,Market Imbalance Indicator,CUM/EX Indicator,Minimum Iceberg Total Volume,Minimum Iceberg Display Volume,EMDI Incremental A - Unnetted,EMDI Incremental A - Unnetted Port,EMDI Incremental B - Unnetted,EMDI Incremental B - Unnetted Port,EMDI Snapshot A - Unnetted,EMDI Snapshot A - Unnetted Port,EMDI Snapshot B - Unnetted,EMDI Snapshot B - Unnetted Port,EMDI Market Depth - Unnetted,EMDI Snapshot Recovery Time Interval - Unnetted,MDI Address A - Netted,MDI Port A - Netted,MDI Address B - Netted,MDI Port B - Netted,MDI Market Depth - Netted,MDI Market Depth Time Interval - Netted,MDI Recovery Time Interval - Netted,EOBI Incremental A,EOBI Incremental Port A,EOBI Incremental B,EOBI Incremental Port B,EOBI Snapshot A,EOBI Snapshot Port A,EOBI Snapshot B,EOBI Snapshot Port B,Market Maker Member ID,Market Maker,Regulatory Liquid Instrument,Pre-trade LIS Value,BEST eligible,Partition ID,Multi CCP-eligible,Tick Size Band,Security Sub Type,Issuer Mnemonic,Issue Date,Underlying,Maturity Date,Flat Indicator,Coupon Rate,Previous Coupon Payment Date,Next Coupon Payment Date,Pool Factor,Indexation Coefficient,Accrued Interest Calculation Method,Country Of Issue,Minimum Tradable Unit,In-Subscription,Strike Price,Minimum Order Quantity,Off-Book Reporting Market,Instrument Auction Type,Specialist Member ID,Specialist,Liquidity Provider User Group,Specialist User Group,Quoting Period Start,Quoting Period End,Currency,Warrant Type,First Trading Date,Last Trading Date,Deposit Type,Single Sided Quote Support
Active,Active,FACC AG INH.AKT.,AT00000FACC2,52092,2504163,000A1147K,1FC,XETR,Y,Continuous,AST0,OESTERREICH,CENWI#,RAIFFEISEN CENTROBANK AG#,,4,1300,CS,0.0001,0.1,0.0001,0.2,0.0002,0.5,0.0005,1,0.001,2,0.002,5,0.005,10,0.01,20,0.02,50,0.05,100,0.1,200,0.2,500,0.5,1000,1,2000,2,5000,5,10000,10,20000,20,50000,50,10000000000,,,4,Shares,3,,BOCCP,XWBO,XETB,2,EUR,1,1,,10000,0.01,224.0.160.13,59001,224.0.162.13,59001,224.0.160.12,59000,224.0.162.12,59000,10,120000,224.0.161.22,59000,224.0.163.22,59000,10,500,7500,224.0.160.161,59001,224.0.162.161,59001,224.0.160.160,59000,224.0.162.160,59000,HREDB#HRTZI,HRTEU Limited#HUDSON RIVER TRADING EUROPE LTD.,Y,300000,N,57,Y,ESMA_LB4,,,,,,,,,,,,,,,N,,1,XETV,,,,,,,,EUR,,2016-09-07,,GIROSAMMELVERWAHRUNG,SSQ_ON_ENTRY_ALLOWED
Active,Active,RAIFFEISEN BK INTL INH.,AT0000606306,52094,2504165,000A0D9SU,RAW,XETR,Y,Continuous,AST0,OESTERREICH,CENWI#,RAIFFEISEN CENTROBANK AG#,,2.5,900,CS,0.0001,0.1,0.0001,0.2,0.0001,0.5,0.0002,1,0.0005,2,0.001,5,0.002,10,0.005,20,0.01,50,0.02,100,0.05,200,0.1,500,0.2,1000,0.5,2000,1,5000,2,10000,5,20000,10,50000,20,10000000000,,,4,Shares,3,,BOCCP,XWBO,XETB,2,EUR,1,1,,10000,0.01,224.0.160.13,59001,224.0.162.13,59001,224.0.160.12,59000,224.0.162.12,59000,10,120000,224.0.161.22,59000,224.0.163.22,59000,10,500,7500,224.0.160.161,59001,224.0.162.161,59001,224.0.160.160,59000,224.0.162.160,59000,,,Y,400000,N,57,Y,ESMA_LB5,,,,,,,,,,,,,,,N,,1,XETV,,,,,,,,EUR,,2009-08-07,,GIROSAMMELVERWAHRUNG,SSQ_ON_ENTRY_ALLOWED
Active,Active,PORR AG,AT0000609607,52095,2504166,850185,ABS2,XETR,Y,Continuous,AST0,OESTERREICH,CENWI#,RAIFFEISEN CENTROBANK AG#,,4,1000,CS,0.0001,0.1,0.0002,0.2,0.0005,0.5,0.001,1,0.002,2,0.005,5,0.01,10,0.02,20,0.05,50,0.1,100,0.2,200,0.5,500,1,1000,2,2000,5,5000,10,10000,20,20000,50,50000,100,10000000000,,,4,Shares,3,,BOCCP,XWBO,XETB,2,EUR,1,1,,10000,0.01,224.0.160.13,59001,224.0.162.13,59001,224.0.160.12,59000,224.0.162.12,59000,10,120000,224.0.161.22,59000,224.0.163.22,59000,10,500,7500,224.0.160.161,59001,224.0.162.161,59001,224.0.160.160,59000,224.0.162.160,59000,,,Y,200000,N,57,Y,ESMA_LB3,,,,,,,,,,,,,,,N,,1,XETV,,,,,,,,EUR,,2016-09-07,,GIROSAMMELVERWAHRUNG,SSQ_ON_ENTRY_ALLOWED
Active,Active,LENZING AG,AT0000644505,52097,2504168,852927,LEN,XETR,Y,Continuous,AST0,OESTERREICH,CENWI#,RAIFFEISEN CENTROBANK AG#,,4,200,CS,0.0001,0.1,0.0001,0.2,0.0002,0.5,0.0005,1,0.001,2,0.002,5,0.005,10,0.01,20,0.02,50,0.05,100,0.1,200,0.2,500,0.5,1000,1,2000,2,5000,5,10000,10,20000,20,50000,50,10000000000,,,4,Shares,3,,BOCCP,XWBO,XETB,2,EUR,1,1,,10000,0.01,224.0.160.13,59001,224.0.162.13,59001,224.0.160.12,59000,224.0.162.12,59000,10,120000,224.0.161.22,59000,224.0.163.22,59000,10,500,7500,224.0.160.161,59001,224.0.162.161,59001,224.0.160.160,59000,224.0.162.160,59000,HREDB#HRTZI,HRTEU Limited#HUDSON RIVER TRADING EUROPE LTD.,Y,300000,N,57,Y,ESMA_LB4,,,,,,,,,,,,,,,N,,1,XETV,,,,,,,,EUR,,2016-09-07,,GIROSAMMELVERWAHRUNG,SSQ_ON_ENTRY_ALLOWED
Active,Active,ERSTE GROUP BNK INH. O.N.,AT0000652011,52098,2504169,909943,EBO,XETR,Y,Continuous,AST0,OESTERREICH,CENWI#,RAIFFEISEN CENTROBANK AG#,,2.5,600,CS,0.0001,0.1,0.0001,0.2,0.0001,0.5,0.0002,1,0.0005,2,0.001,5,0.002,10,0.005,20,0.01,50,0.02,100,0.05,200,0.1,500,0.2,1000,0.5,2000,1,5000,2,10000,5,20000,10,50000,20,10000000000,,,4,Shares,3,,BOCCP,XWBO,XETB,2,EUR,1,1,,10000,0.01,224.0.160.13,59001,224.0.162.13,59001,224.0.160.12,59000,224.0.162.12,59000,10,120000,224.0.161.22,59000,224.0.163.22,59000,10,500,7500,224.0.160.161,59001,224.0.162.161,59001,224.0.160.160,59000,224.0.162.160,59000,GLELO,Gair Loch Enterprises Ltd,Y,650000,N,57,Y,ESMA_LB5,,,,,,,,,,,,,,,N,,1,XETV,,,,,,,,EUR,,2009-03-30,,GIROSAMMELVERWAHRUNG,SSQ_ON_ENTRY_ALLOWED
Active,Active,S IMMO AG,AT0000652250,52099,2504170,902388,T1L,XETR,Y,Continuous,AST0,OESTERREICH,HAUZI#,HAUCK & AUFHAEUSER PRIVATBANKIERS AG#,,4,700,CS,0.0001,0.1,0.0002,0.2,0.0005,0.5,0.001,1,0.002,2,0.005,5,0.01,10,0.02,20,0.05,50,0.1,100,0.2,200,0.5,500,1,1000,2,2000,5,5000,10,10000,20,20000,50,50000,100,10000000000,,,4,Shares,3,,BOCCP,XWBO,XETB,2,EUR,1,1,,10000,0.01,224.0.160.13,59001,224.0.162.13,59001,224.0.160.12,59000,224.0.162.12,59000,10,120000,224.0.161.22,59000,224.0.163.22,59000,10,500,7500,224.0.160.161,59001,224.0.162.161,59001,224.0.160.160,59000,224.0.162.160,59000,CENWI,RAIFFEISEN CENTROBANK AG,Y,200000,N,57,Y,ESMA_LB3,,,,,,,,,,,,,,,N,,1,XETV,,,,,,,,EUR,,2013-04-03,,GIROSAMMELVERWAHRUNG,SSQ_ON_ENTRY_ALLOWED
Active,Active,TELEKOM AUSTRIA AG,AT0000720008,52102,2504173,588811,TA1,XETR,Y,Continuous,AST0,OESTERREICH,CENWI#,RAIFFEISEN CENTROBANK AG#,0.32,,2000,CS,0.0001,0.1,0.0002,0.2,0.0005,0.5,0.001,1,0.002,2,0.005,5,0.01,10,0.02,20,0.05,50,0.1,100,0.2,200,0.5,500,1,1000,2,2000,5,5000,10,10000,20,20000,50,50000,100,10000000000,,,4,Shares,3,,BOCCP,XWBO,XETB,2,EUR,1,1,,10000,0.01,224.0.160.13,59001,224.0.162.13,59001,224.0.160.12,59000,224.0.162.12,59000,10,120000,224.0.161.22,59000,224.0.163.22,59000,10,500,7500,224.0.160.161,59001,224.0.162.161,59001,224.0.160.160,59000,224.0.162.160,59000,,,Y,200000,N,57,Y,ESMA_LB3,,,,,,,,,,,,,,,N,,1,XETV,,,,,,,,EUR,,2016-09-07,,GIROSAMMELVERWAHRUNG,SSQ_ON_ENTRY_ALLOWED
Active,Active,ANDRITZ AG,AT0000730007,52103,2504174,632305,AZ2,XETR,Y,Continuous,AST0,OESTERREICH,CENWI#,RAIFFEISEN CENTROBANK AG#,,2.5,600,CS,0.0001,0.1,0.0001,0.2,0.0002,0.5,0.0005,1,0.001,2,0.002,5,0.005,10,0.01,20,0.02,50,0.05,100,0.1,200,0.2,500,0.5,1000,1,2000,2,5000,5,10000,10,20000,20,50000,50,10000000000,,,4,Shares,3,,BOCCP,XWBO,XETB,2,EUR,1,1,,10000,0.01,224.0.160.13,59001,224.0.162.13,59001,224.0.160.12,59000,224.0.162.12,59000,10,120000,224.0.161.22,59000,224.0.163.22,59000,10,500,7500,224.0.160.161,59001,224.0.162.161,59001,224.0.160.160,59000,224.0.162.160,59000,,,Y,400000,N,57,Y,ESMA_LB4,,,,,,,,,,,,,,,N,,1,XETV,,,,,,,,EUR,,2009-08-07,,GIROSAMMELVERWAHRUNG,SSQ_ON_ENTRY_ALLOWED
Active,Active,OMV AG,AT0000743059,52104,2504175,874341,OMV,XETR,Y,Continuous,AST0,OESTERREICH,CENWI#,RAIFFEISEN CENTROBANK AG#,,2.5,400,CS,0.0001,0.1,0.0001,0.2,0.0001,0.5,0.0002,1,0.0005,2,0.001,5,0.002,10,0.005,20,0.01,50,0.02,100,0.05,200,0.1,500,0.2,1000,0.5,2000,1,5000,2,10000,5,20000,10,50000,20,10000000000,,,4,Shares,3,,BOCCP,XWBO,XETB,2,EUR,1,1,,10000,0.01,224.0.160.13,59001,224.0.162.13,59001,224.0.160.12,59000,224.0.162.12,59000,10,120000,224.0.161.22,59000,224.0.163.22,59000,10,500,7500,224.0.160.161,59001,224.0.162.161,59001,224.0.160.160,59000,224.0.162.160,59000,BALFR,BAADER BANK AG,Y,500000,N,57,Y,ESMA_LB5,,,,,,,,,,,,,,,N,,1,XETV,,,,,,,,EUR,,2009-07-13,,GIROSAMMELVERWAHRUNG,SSQ_ON_ENTRY_ALLOWED
Active,Active,VERBUND AG       INH. A,AT0000746409,52105,2504176,877738,OEWA,XETR,Y,Continuous,AST0,OESTERREICH,CENWI#,RAIFFEISEN CENTROBANK AG#,,2.5,500,CS,0.0001,0.1,0.0001,0.2,0.0002,0.5,0.0005,1,0.001,2,0.002,5,0.005,10,0.01,20,0.02,50,0.05,100,0.1,200,0.2,500,0.5,1000,1,2000,2,5000,5,10000,10,20000,20,50000,50,10000000000,,,4,Shares,3,,BOCCP,XWBO,XETB,2,EUR,1,1,,10000,0.01,224.0.160.13,59001,224.0.162.13,59001,224.0.160.12,59000,224.0.162.12,59000,10,120000,224.0.161.22,59000,224.0.163.22,59000,10,500,7500,224.0.160.161,59001,224.0.162.161,59001,224.0.160.160,59000,224.0.162.160,59000,,,Y,400000,N,57,Y,ESMA_LB4,,,,,,,,,,,,,,,N,,1,XETV,,,,,,,,EUR,,2012-03-30,,GIROSAMMELVERWAHRUNG,SSQ_ON_ENTRY_ALLOWED
