Instrument,Mnemonic
DE0005408116,ARL
DE000A0LD2U1,AOX
DE0006766504,NDA
DE0005158703,BC8
DE000A1DAHH0,BNR
DE0005419105,COK
DE0005313704,AFX
DE000CBK1001,CBK
DE0005437305,COP
DE0005470306,EVD
DE000A2E4K43,DHER
DE000A0HN5C6,DWNI
DE0005565204,DUE
DE000EVNK013,EVK
DE0005664809,EVT
DE0005773303,FRA
DE000A0Z2ZZ5,FNTN
DE0005790430,FPE3
DE0006602006,G1A
DE000A0LD6E6,GXI
DE000A161N30,GLJ
DE0008402215,HNR1
DE000A13SX22,HLE
DE0006070006,HOT
DE000A1PHFF7,BOSS
DE000KSAG888,SDF
DE000KGX8881,KGX
DE000KBX1006,KBX
DE0005470405,LXS
DE000LEG1110,LEG
DE000BFB0019,B4B
DE0006632003,MOR
DE0006452907,NEM
DE000LED4000,OSR
DE0008019001,PBB
DE000PSM7770,PSM
DE0006969603,PUM
DE0007010803,RAA
DE0007030009,RHM
DE000A12UKK6,RKET
DE0007165631,SRT3
DE000A12DM80,G24
DE000SHL1006,SHL
DE000WAF3001,WAF
DE000A2GS401,SOW
DE000SYM9999,SY1
DE0008303504,TEG
DE000A2YN900,TMV
DE000A1J5RX9,O2D
DE0007500001,TKA
DE000UNSE018,UN01
DE0005089031,UTDI
DE000A0TGJ55,VAR1
DE000ZAL1111,ZAL
